,Job_Title,Salary,Company_Name,Location,Category,Subcategory,Skills,Links
10,Data Analytics Manager,100500.0,Hays Information Technology,Melbourne VIC 3000,Information Technology (IT),IT Management & Senior Leadership,"['COMMUNICATION', 'CONTINUOUS IMPROVEMENT', 'DATA ANALYTICS', 'LEADERSHIP', 'MANAGEMENT', 'OPERATIONS', 'PROJECT MANAGEMENT', 'TIME MANAGEMENT', 'WRITTEN AND VERBAL']",https://www.careerone.com.au/jobview/data-analytics-manager/abbc5066-ff6d-41e0-891b-8feaf911744f
11,Administrator/Data Entry,50500.0,Hays Office Support,Melbourne VIC 3000,Administration & Office Support,Administration Assistants,[],https://www.careerone.com.au/jobview/administratordata-entry/b8f7ef21-2234-4188-a521-5909417da61e
12,APS6 Data Analyst,125000.0,Hays Information Technology,Canberra ACT,Information Technology (IT),Business/Systems Analysts (IT),"['BUSINESS REQUIREMENTS', 'COMMUNICATION', 'DATA ANALYST', 'DATA TRANSFORMATION', 'Serial Attached SCSI', 'SQL', 'TIME MANAGEMENT', 'UNIT TESTS', 'WRITTEN AND VERBAL']",https://www.careerone.com.au/jobview/aps6-data-analyst/ef823763-ec2e-4831-a2d1-848b21cc41c0
13,Sustainability Data Analyst,100000.0,Hays Information Technology,Sydney NSW 2000,Information Technology (IT),Business/Systems Analysts (IT),"['COMMUNICATION', 'DATA ANALYST', 'JSON', 'MARKETING ANALYSIS', 'PIVOT TABLES', 'POSTGRESQL', 'REST', 'SQL', 'WRITTEN AND VERBAL']",https://www.careerone.com.au/jobview/sustainability-data-analyst/a75b2005-9613-4ed3-93fc-037a038ef60b
14,Master Data Specialist (Fixed Term),85500.0,Bega Cheese Ltd,Port Melbourne VIC 3207,Information Technology (IT),Database Development & Admin,"['COMMUNICATION', 'CONTINUOUS IMPROVEMENT', 'DATA CUSTODIAN', 'DATA QUALITY', 'ERP', 'EXCELLENT COMPUTER SKILLS', 'PRICING']",https://www.careerone.com.au/jobview/master-data-specialist-fixed-term/10-begacheese636134172f61
15,Application Data Architect,99500.0,Victoria Legal Aid,Melbourne VIC,Information Technology (IT),Software & System Architecture,"['DATA ARCHITECTURE', 'DATA MANAGEMENT', 'DATA MIGRATION', 'DATABASE MODELING', 'MARKETING ANALYSIS', 'MASTER DATA MANAGEMENT', 'MICROSOFT WORD', 'PACKAGING']",https://www.careerone.com.au/jobview/application-data-architect/2dec444d-a4f0-4058-88b5-c89b78f72e74
16,"Executive Manager, Data and Analytics NPD",152500.0,NBN,Sydney CBD NSW,Information Technology (IT),IT Management & Senior Leadership,"['CHANGE MANAGEMENT', 'DATA ANALYTICS', 'DEPLOYMENT', 'INFORMATION SECURITY', 'LEADERSHIP', 'MANAGEMENT', 'NETWORK PLANNING', 'OPERATIONS', 'STRONG COMMUNICATION SKILLS', 'TELECOMMUNICATIONS', 'WRITTEN AND VERBAL']",https://www.careerone.com.au/jobview/executive-manager-data-and-analytics-npd/26f1caca-4ce4-4451-92df-798fd6956398
17,"Senior Advisor, Product Management -Data Centre Power & Cooling",117500.0,DELL,Frenchs Forest NSW 2086,Information Technology (IT),IT Management & Senior Leadership,"['BUSINESS MANAGEMENT', 'COMMUNICATION', 'LEADERSHIP', 'MANAGEMENT', 'PRICING', 'PRODUCT MANAGEMENT', 'SALESFORCE', 'VALUE PROPOSITION']",https://www.careerone.com.au/jobview/senior-advisor-product-management-data-centre-power-cooling/0507664b-403b-447d-95a7-4cd0b64045e3
18,Data Architect,136000.0,Reserve Bank of Australia,Sydney CBD NSW,Information Technology (IT),Software & System Architecture,"['ANALYTICS PLATFORM', 'BUSINESS OPERATIONS', 'DATA ARCHITECTURE', 'DATA COLLECTION', 'DATA GOVERNANCE', 'DATA MANAGEMENT', 'DATA QUALITY', 'DATA SOURCES', 'DATA WAREHOUSING', 'MARKETING ANALYSIS', 'MS SQL SERVER', 'SQL', 'SYSTEMS INTEGRATION', 'TAXONOMY']",https://www.careerone.com.au/jobview/data-architect/0823bcbb-cc9c-4f24-8799-10f5e72ce082
19,"Executive Manager, Data and Analytics Corporate Services",154000.0,NBN,Sydney CBD NSW,Executive Management & Consulting,Strategy,"['CHANGE MANAGEMENT', 'LEADERSHIP', 'MANAGEMENT', 'OPERATIONS', 'STRONG COMMUNICATION SKILLS', 'WRITTEN AND VERBAL']",https://www.careerone.com.au/jobview/executive-manager-data-and-analytics-corporate-services/09c55a3d-0b9b-4db6-b8dc-6f100db26b99
20,Senior Data Engineer,130000.0,TurboRecruit,Brisbane CBD QLD,Information Technology (IT),Software Engineering,"['BUSINESS INTELLIGENCE', 'COMMUNICATION', 'CONTENT MANAGEMENT', 'DATA ARCHITECTURE', 'DATA GOVERNANCE', 'DATA MANAGEMENT', 'DATA MINING', 'DATA PROFILING', 'DATA QUALITY', 'DATA VALIDATION', 'DATASETS', 'DEPLOYMENT', 'MARKETING ANALYSIS', 'MASTER DATA MANAGEMENT', 'MICROSOFT WORD', 'PACKAGING', 'PROVISIONING', 'SQL', 'WRITTEN AND VERBAL']",https://www.careerone.com.au/jobview/senior-data-engineer/10eb70db-8c4f-4f4c-a517-36749755d7e8
21,"General Manager, Data and Analytics NEO",172000.0,NBN,Sydney CBD NSW,Executive Management & Consulting,"Chief Operations Officer (COO), General Manager (GM), Managing Director (MD)","['CHANGE MANAGEMENT', 'ENGINEERING OPERATIONS', 'LEADERSHIP', 'MANAGEMENT', 'OPERATIONS', 'STRONG COMMUNICATION SKILLS', 'WRITTEN AND VERBAL']",https://www.careerone.com.au/jobview/general-manager-data-and-analytics-neo/435a020b-a5ae-43d3-8d05-f157834ac54f
22,Lead Data Architect - Sydney based,179500.0,Macquarie Group,Sydney CBD NSW,Information Technology (IT),Software & System Architecture,"['DATA ARCHITECTURE', 'DATA GOVERNANCE', 'OPEN SOURCE', 'OPERATIONS', 'RFP', 'TEAM PLAYER', 'TRADING']",https://www.careerone.com.au/jobview/lead-data-architect-sydney-based/54d67acd-1730-405b-9fbc-497fcb22fd44
23,Analytics Data Engineer,126500.0,TurboRecruit,Melbourne CBD VIC,Information Technology (IT),Software Engineering,"['DATA COLLECTION', 'DATA WAREHOUSING', 'MS SQL SERVER', 'Serial Attached SCSI', 'SQL', 'TABLEAU SOFTWARE']",https://www.careerone.com.au/jobview/analytics-data-engineer/4ac18ab7-60fd-4573-9ba2-825b6d15a3a6
24,Database Data Security Engineer,100000.0,NBN,Sydney CBD NSW,Information Technology (IT),Security,"['DATA ANALYTICS', 'DATA MASKING', 'DATA SERVICES', 'DB2', 'ENCRYPTION', 'MS SQL SERVER', 'OPERATIONS', 'POLICY DEVELOPMENT', 'REPLICATION', 'SYBASE', 'TEAM BUILDING', 'TELECOMMUNICATIONS']",https://www.careerone.com.au/jobview/database-data-security-engineer/5389029f-1cc2-4b7a-844a-5ae7f34f887d
25,"General Manager, Data and Analytics Delivery",165500.0,NBN,Sydney CBD NSW,Executive Management & Consulting,"Chief Operations Officer (COO), General Manager (GM), Managing Director (MD)","['CHANGE MANAGEMENT', 'LEADERSHIP', 'MANAGEMENT', 'OPERATIONS', 'STRONG COMMUNICATION SKILLS', 'TRADING', 'WRITTEN AND VERBAL']",https://www.careerone.com.au/jobview/general-manager-data-and-analytics-delivery/38d9aa3e-a0c4-47e7-ae2d-4dc85b8d0c60
26,Associate/Senior Associate -Data & Transformation,86000.0,Macquarie Group,Sydney CBD NSW,"Banking, Superannuation & Finance","Other (Banking, Superannuation & Finance)","['ACTUARIAL', 'COMMUNICATION', 'FINANCIAL MANAGEMENT', 'INVESTOR RELATIONS', 'QUANTITATIVE', 'STRONG WORK ETHIC']",https://www.careerone.com.au/jobview/associatesenior-associate-data-transformation/2d4d2e44-d6a0-46be-a95d-18573949e6ff
27,Senior Presales Manager ANZ - Modern Data Centre,167000.0,DELL,St Leonards NSW 2065,Sales,Sales Manager/Director & Senior Leadership,"['ENGINEERING MANAGEMENT', 'LEADERSHIP', 'LEADERSHIP SKILLS', 'MAJOR ACCOUNTS', 'MANAGEMENT', 'PRESALES', 'PRESENTATION SKILLS', 'SALES', 'SALES MANAGEMENT', 'SALES OBJECTIVES', 'SALES PLANS', 'SALES PRESENTATIONS', 'SALES PROFESSIONALS', 'SALES TEAM', 'SELF MOTIVATED', 'SERVICE SALES']",https://www.careerone.com.au/jobview/senior-presales-manager-anz-modern-data-centre/456653ce-61c8-4a9b-8e4f-e71d1e960b98
28,"Senior Associate, Data Insights",100000.0,NBN,Sydney CBD NSW,Executive Management & Consulting,Analyst (Executive Management & Consulting),"['BUSINESS INTELLIGENCE', 'COMMUNICATION', 'MANAGEMENT', 'OPERATIONS']",https://www.careerone.com.au/jobview/senior-associate-data-insights/4deb74fa-cf90-4410-b979-0c9e2ece376a
29,"General Manager, Data and Analytics Centre of Excellence",163000.0,NBN,Sydney CBD NSW,Executive Management & Consulting,"Chief Operations Officer (COO), General Manager (GM), Managing Director (MD)","['CHANGE MANAGEMENT', 'LEADERSHIP', 'MANAGEMENT', 'OPERATIONS', 'STRONG COMMUNICATION SKILLS', 'WRITTEN AND VERBAL']",https://www.careerone.com.au/jobview/general-manager-data-and-analytics-centre-of-excellence/3e5a43ad-deda-41f4-ae9d-da1bdecbbc45
30,Data Professional,134500.0,Finite IT,Sydney NSW 2000,Information Technology (IT),Other (Information Technology (IT)),"['MICROSOFT SSRS', 'REQUIREMENT GATHERING', 'SQL', 'TABLEAU SOFTWARE', 'TELECOMMUNICATIONS']",https://www.careerone.com.au/jobview/data-professional/30cfc1a9-f0a6-4084-981f-478d2162a1a0
31,Senior Data Analyst,117000.0,AustralianSuper,Melbourne VIC,"Banking, Superannuation & Finance",Funds Manager,"['FIXED INCOME', 'PORTFOLIO MANAGEMENT', 'TRADING']",https://www.careerone.com.au/jobview/senior-data-analyst/4098ee31-7deb-4a5b-8516-b91216ea5ddc
32,Warehouse Administration - Data Entry,60000.0,People in Focus,Port Botany NSW 2036,Transport & Logistics,"Picking, Shipping, Postal, Warehousing & Customs","['INVENTORY', 'LOGISTICS', 'ORDER MANAGEMENT']",https://www.careerone.com.au/jobview/warehouse-administration-data-entry/73efd56f-e868-41a3-9f93-d3ed6dae7f7f
33,Data Privacy Specialist,133000.0,ANZ,Melbourne VIC,Information Technology (IT),Product Manager,"['COMMUNICATION', 'CONTINUOUS IMPROVEMENT', 'DATA GOVERNANCE', 'PROBLEM SOLVER', 'STAKEHOLDER ENGAGEMENT', 'TEAM PLAYER', 'WRITTEN AND VERBAL']",https://www.careerone.com.au/jobview/data-privacy-specialist/9fa6fdc4-6a48-42fa-aed1-d60bca41615f
34,Wealth Analytics %26 Insights - Analyst Data Scientist,100000.0,Westpac Group,Sydney NSW 2000,Information Technology (IT),Business/Systems Analysts (IT),"['AGILE DELIVERY', 'AWS', 'PROJECT MANAGEMENT', 'QLIKVIEW', 'SQL', 'TABLEAU SOFTWARE', 'VBA']",https://www.careerone.com.au/jobview/wealth-analytics-26-insights-analyst-data-scientist/66b6dad5-0bfa-44bf-a402-f822aba55b6b
35,"General Manager, Data and Analytics Strategy and Technology",186000.0,NBN,Sydney CBD NSW,Executive Management & Consulting,"Chief Operations Officer (COO), General Manager (GM), Managing Director (MD)","['CHANGE MANAGEMENT', 'ENGINEERING OPERATIONS', 'LEADERSHIP', 'MANAGEMENT', 'OPERATIONS', 'STRONG COMMUNICATION SKILLS', 'WRITTEN AND VERBAL']",https://www.careerone.com.au/jobview/general-manager-data-and-analytics-strategy-and-technology/63dd2b5a-cc5d-404a-993e-1afa61c9a20c
36,Data Analyst,98500.0,Mission Australia,Australia,Information Technology (IT),Business/Systems Analysts (IT),"['DATA ANALYST', 'DATA ANALYTICS', 'DATA COLLECTION', 'MARKETING ANALYSIS', 'MICROSOFT POWERPOINT', 'PACKAGING', 'POWER BI', 'REPORT WRITING']",https://www.careerone.com.au/jobview/data-analyst/79f96537-5a1c-49cd-999f-4fd0eafdadcc
37,Consultant - Data Modernisation,84000.0,Deloitte,Southern Suburbs Brisbane QLD,Executive Management & Consulting,Analyst (Executive Management & Consulting),"['EXCELLENT VERBAL AND WRITTEN COMMUNICATION SKILLS', 'TRADING']",https://www.careerone.com.au/jobview/consultant-data-modernisation/86957e3b-a737-4a44-a34d-75d0636a754d
38,Merchandise Data Support Analyst,65500.0,Total Tools,Melbourne CBD VIC,Retail,Merchandiser & Product Planner,"['COMMUNICATION', 'MICROSOFT EXCEL', 'MULTITASKING', 'PRICING', 'TIME MANAGEMENT', 'WRITTEN AND VERBAL']",https://www.careerone.com.au/jobview/merchandise-data-support-analyst/8adba1bf-ca9d-40af-ad58-1a9fa1ddf5df
39,"Senior Data Analyst, Financial Crime",139000.0,ANZ,Melbourne VIC,Information Technology (IT),Business/Systems Analysts (IT),"['AGILE DELIVERY', 'APACHE HADOOP MAPREDUCE', 'APACHE SPARK', 'ARTICULATE', 'COBOL', 'DATA ANALYST', 'DATA ARCHITECTURE', 'DATA MANAGEMENT', 'DATA SOURCES', 'DATA WAREHOUSING', 'DATABASE AS A SERVICE', 'DIMENSIONAL DATA', 'JAVA', 'KAFKA', 'LIFE CYCLE', 'OPEN SOURCE', 'STRONG COMMUNICATION SKILLS', 'UNSTRUCTURED DATA']",https://www.careerone.com.au/jobview/senior-data-analyst-financial-crime/5dec0a76-e206-4f27-9222-422e49d25370
40,"Data Analyst, Sydney",89000.0,ANZ,Sydney CBD NSW,"Banking, Superannuation & Finance",Analyst (Banking & Finance),"['BUSINESS INTELLIGENCE', 'CLOSER', 'CODING', 'DATA ANALYST', 'DATA EXTRACTION', 'DATA MANAGEMENT', 'DATABASE', 'DATABASE ADMIN', 'DATABASE ADMINISTRATION', 'FINANCIALS', 'KEY ACCOUNTS', 'MANAGEMENT', 'MARKETING ANALYSIS', 'MICROSOFT EXCEL', 'MICROSOFT OFFICE', 'MS SQL SERVER', 'OFFICE SKILLS', 'POWER BI', 'PROBLEM SOLVING', 'PROCESS IMPROVEMENT', 'PROGRESS', 'PYTHON', 'RECONCILING', 'RECRUITMENT', 'REMEDIATION', 'REMEDIATION PROJECT', 'SQL', 'STORED PROCEDURE', 'STRATEGIC PLANNING', 'VBA']",https://www.careerone.com.au/jobview/data-analyst-sydney/5adb66e6-9dae-45f1-9de9-64a9dc00d24e
41,Application Data Security Solution Architect,151000.0,NBN,Sydney CBD NSW,Information Technology (IT),IT Management & Senior Leadership,"['AGILE DELIVERY', 'AWS', 'ENTERPRISE ARCHITECTURE', 'INTRUSION DETECTION', 'ISO 27000', 'LEADERSHIP', 'MALWARE', 'MANAGEMENT', 'OPERATIONS', 'POLICY DEVELOPMENT', 'SECURITY ARCHITECTURE', 'SQL', 'STRONG COMMUNICATION SKILLS', 'TEAM BUILDING', 'TELECOMMUNICATIONS']",https://www.careerone.com.au/jobview/application-data-security-solution-architect/6fe5c91f-f8de-4b1b-81c8-10006bd7409e
42,"Snr Systems Engineer - O365, Azure, SaaS,Data Integration, Migration, Sharepoint",177500.0,Expertech,Sydney CBD NSW,Information Technology (IT),Networks & Systems Administration,"['API', 'CHANGE MANAGEMENT', 'CYBER SECURITY', 'DATA MIGRATION', 'DEPLOYMENT', 'ENTERPRISE ARCHITECTURE', 'GO LIVE', 'ITIL', 'LEVEL DESIGN', 'MICROSOFT SHAREPOINT', 'PMP', 'PRINCE2', 'REAL TIME', 'RESTFUL WEB SERVICES', 'SDLC', 'SOFTWARE AS A SERVICE', 'SYSTEMS ANALYSIS', 'SYSTEMS ENGINEER', 'SYSTEMS ENGINEERING', 'USER ACCEPTANCE']",https://www.careerone.com.au/jobview/snr-systems-engineer-o365-azure-saasdata-integration-migration-sharepoint/7e8fe67e-d503-46da-8e6a-3a9cb6bc0b0a
43,AUA SAP Senior Product Data Analyst,85500.0,Jeld Wen,Windaroo QLD 4207,Information Technology (IT),Business/Systems Analysts (IT),"['DATA ANALYST', 'DATA CONVERSION', 'ERP', 'MICROSOFT OFFICE', 'ORDER ENTRY', 'PRICING', 'PROJECT MANAGEMENT', 'SAP', 'TEAM LEAD', 'TRADING']",https://www.careerone.com.au/jobview/aua-sap-senior-product-data-analyst/7aa42624-4ec3-4c2b-b703-65a45d4e48ed
44,Product Owner - Data and Analytics,138000.0,Commonwealth Bank,Sydney NSW 2000,Information Technology (IT),Project Manager (IT),"['BUSINESS INTELLIGENCE', 'CHANGE MANAGEMENT', 'DATA MANAGEMENT', 'LIFE CYCLE', 'SELF-STARTER']",https://www.careerone.com.au/jobview/product-owner-data-and-analytics/335e7a38-cb71-443b-91cd-c57d6f8af133
45,"Journey Expert, Scrum Master - Data Service Customer Tribe",123500.0,ANZ,Melbourne VIC,Information Technology (IT),Business/Systems Analysts (IT),"['ANIMATION', 'BUSINESS ANALYSIS', 'CHANGE MANAGEMENT', 'CONTINUOUS IMPROVEMENT', 'PROBLEM SOLVER', 'TEAM PLAYER']",https://www.careerone.com.au/jobview/journey-expert-scrum-master-data-service-customer-tribe/2ca75834-3f25-41e1-a358-cb5bb39bd31f
46,Specialist Data Engineer - MECoE,123000.0,TurboRecruit,Brisbane CBD QLD,Information Technology (IT),Database Development & Admin,"['DATA ANALYTICS', 'DEPLOYMENT', 'ETL', 'MACHINE LEARNING', 'MARKETING ANALYSIS', 'MICROSOFT WORD', 'NOSQL', 'OPERATIONS', 'PROJECT MANAGEMENT', 'SQL', 'UNIT TESTING', 'WORKFLOW MANAGEMENT']",https://www.careerone.com.au/jobview/specialist-data-engineer-mecoe/367db72d-96fb-4350-87cf-a98dd2a384ea
47,"Senior Information Analyst, WIB Data Governance",116000.0,Westpac Institutional Banking,Sydney NSW 2000,Information Technology (IT),IT Management & Senior Leadership,"['COMMUNICATION', 'DATA ANALYST', 'DATA GOVERNANCE', 'DATA MANAGEMENT', 'DATA QUALITY', 'ENTERPRISE ARCHITECT', 'MANAGEMENT', 'MICROSOFT EXCEL', 'SQL']",https://www.careerone.com.au/jobview/senior-information-analyst-wib-data-governance/a898e109-094a-4196-9b6a-003ebcc201d8
48,Data Analyst / Data Management Specialist,98000.0,KPMG,Adelaide SA 5000,Executive Management & Consulting,Analyst (Executive Management & Consulting),"['MANAGEMENT', 'PROBLEM SOLVING']",https://www.careerone.com.au/jobview/data-analyst-data-management-specialist/b1c516f9-bacf-4e1e-9013-4b0dbea28117
49,Data Analyst,86500.0,TurboRecruit,Melbourne CBD VIC,Information Technology (IT),Business/Systems Analysts (IT),"['BUSINESS MANAGEMENT', 'COMMUNICATION', 'DATA ANALYST', 'DATA COLLECTION', 'MACHINE LEARNING', 'MARKETING ANALYSIS', 'SCRIPTING', 'SUPERVISED LEARNING', 'VISUALIZATION', 'WRITTEN AND VERBAL']",https://www.careerone.com.au/jobview/data-analyst/b4af35dd-169a-46e5-a8fa-cef1c7877315
50,Data Scientist,100000.0,TurboRecruit,VIC,Information Technology (IT),Database Development & Admin,"['BOOSTING', 'BUSINESS MANAGEMENT', 'DATA SCIENCE', 'JSON', 'MACHINE LEARNING', 'MARKETING ANALYSIS', 'STAKEHOLDER ENGAGEMENT', 'SUPERVISED LEARNING', 'TEAM PLAYER']",https://www.careerone.com.au/jobview/data-scientist/a85442e2-f568-485c-8fcb-1424da6708a6
51,Head of Data Science Singapore,201500.0,HR National & Sales Staff Australia,Melbourne CBD VIC,Information Technology (IT),IT Management & Senior Leadership,"['DATA SCIENCE', 'SMS']",https://www.careerone.com.au/jobview/head-of-data-science-singapore/c6ea1ae4-b8b0-48b2-9844-55c1e148cb2c
52,Analytics Data Engineer,126000.0,AustralianSuper,Melbourne VIC,Information Technology (IT),Software Engineering,"['DATA COLLECTION', 'DATA WAREHOUSING', 'MS SQL SERVER', 'Serial Attached SCSI', 'SQL', 'TABLEAU SOFTWARE']",https://www.careerone.com.au/jobview/analytics-data-engineer/baa09723-7c71-4ab7-a02a-04295842c886
53,Data Engineer,125500.0,TurboRecruit,Australia,Information Technology (IT),Software Engineering,"['BUSINESS INTELLIGENCE', 'DATA ANALYTICS', 'DATA SERVICES', 'FANUC', 'MS .NET', 'POWER BI', 'SQL']",https://www.careerone.com.au/jobview/data-engineer/9a33df54-7cb6-4c10-b71b-a561847338c7
54,Senior Data Privacy and Protection Officer,164500.0,NAB,Melbourne VIC,"Banking, Superannuation & Finance","Compliance, Risk Management & Fraud Investigation","['COMMUNICATION', 'EMPLOYEE BENEFITS', 'FINANCIAL SERVICES', 'WRITTEN AND VERBAL']",https://www.careerone.com.au/jobview/senior-data-privacy-and-protection-officer/df207a6a-a387-4f6d-8a6d-8e4928a98e21
55,Data Analyst,130000.0,Versent,VIC,Information Technology (IT),Business/Systems Analysts (IT),"['AWS', 'BUSINESS REQUIREMENTS', 'CONTINUOUS IMPROVEMENT', 'DATA ANALYST', 'DATA MIGRATION', 'GAP ANALYSIS', 'MARKETING ANALYSIS', 'OUTSTANDING COMMUNICATION']",https://www.careerone.com.au/jobview/data-analyst/edeca843-0fe6-4bfe-a779-dcb0d74f6039
56,Lead Data Architect,182000.0,Macquarie Group,Sydney NSW 2000,Information Technology (IT),Software & System Architecture,"['DATA ARCHITECTURE', 'DATA GOVERNANCE', 'OPEN SOURCE', 'OPERATIONS', 'RFP', 'TEAM PLAYER', 'TRADING']",https://www.careerone.com.au/jobview/lead-data-architect/ec252bec-dc30-4bbe-8411-0bfa14b0881d
57,Data Analyst Sydney,99000.0,Deloitte,Sydney NSW 2000,Information Technology (IT),Business/Systems Analysts (IT),"['CONTINUOUS IMPROVEMENT', 'DATA ANALYST', 'DATA SOURCES', 'POWER BI', 'Serial Attached SCSI', 'SQL', 'TABLEAU SOFTWARE']",https://www.careerone.com.au/jobview/data-analyst-sydney/9a99aa8e-086e-4a69-bd62-bfc6255b992e
58,Senior Analyst - Data Visualisation,125500.0,Peoplebank,Melbourne VIC,Information Technology (IT),Business/Systems Analysts (IT),"['BUSINESS REQUIREMENTS', 'DATA ANALYST', 'MICROSOFT WORD', 'TABLEAU SOFTWARE', 'TIME MANAGEMENT', 'VERY ORGANIZED']",https://www.careerone.com.au/jobview/senior-analyst-data-visualisation/d202c9a4-edbb-49f6-8331-aabc74d56fcd
59,Production Data Controller,133500.0,BHP,SA,Mining & Energy,Operations,"['COMMUNICATION', 'CONTROL ROOM', 'FLEET MANAGEMENT', 'MICROSOFT EXCEL', 'OPERATIONS']",https://www.careerone.com.au/jobview/production-data-controller/b21d4f49-5ee2-4915-9884-b961b51c65f5
60,Business Data Manager,111000.0,Westpac Group,Sydney NSW 2000,Information Technology (IT),IT Management & Senior Leadership,"['DATA QUALITY', 'MANAGEMENT', 'ONLINE LEARNING', 'REFERENCE DATA', 'TEAM LEAD']",https://www.careerone.com.au/jobview/business-data-manager/e6f42cf4-28ba-4cc8-ae85-3c12fa0e0008
61,Data Scientist,137500.0,ANZ,Melbourne VIC,"Science, Technology & Environment",Mathematical & Statistical Research,"['DATA MINING', 'MACHINE LEARNING', 'NATURAL LANGUAGE PROCESSING', 'STATISTICAL ANALYSIS', 'TEXT ANALYTICS']",https://www.careerone.com.au/jobview/data-scientist/ec521152-66c4-4111-b768-7932148ea3ea
62,Senior Data Analyst,119000.0,TurboRecruit,Melbourne CBD VIC,"Banking, Superannuation & Finance",Funds Manager,"['FIXED INCOME', 'PORTFOLIO MANAGEMENT', 'TRADING']",https://www.careerone.com.au/jobview/senior-data-analyst/ff2f66b8-4241-45c3-9627-3da3a027d08e
63,Senior Data Warehouse Engineer,146500.0,NBN,Melbourne VIC,Information Technology (IT),IT Management & Senior Leadership,"['AWS', 'BUSINESS INTELLIGENCE', 'CONTINUOUS IMPROVEMENT', 'ETL', 'LEADERSHIP', 'MANAGEMENT', 'OPERATIONS', 'SELF-STARTER', 'SOFTWARE ENGINEERING', 'TEAM BUILDING']",https://www.careerone.com.au/jobview/senior-data-warehouse-engineer/daab309a-1cc4-43e8-a888-b0a9d79e54c1
