MEASURE,Measure,PROP_TYPE,Property type,ASGS_2011,Region,FREQUENCY,Frequency,TIME,Time,Value,Flag Codes,Flags
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2018-Q1,Mar-18,6.2,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2018-Q2,Jun-18,2.3,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2018-Q3,Sep-18,-1.5,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2018-Q4,Dec-18,-6.4,,
3,Percentage change from corresponding quarter of the previous year,3,Residential property,2GMEL,Greater Melbourne,Q,Quarterly,2019-Q1,Mar-19,-9.4,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2009-Q1,Mar-09,18,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2009-Q2,Jun-09,19.8,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2009-Q3,Sep-09,14.4,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2009-Q4,Dec-09,20.4,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2010-Q1,Mar-10,12.9,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2010-Q2,Jun-10,13.8,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2010-Q3,Sep-10,11.3,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2010-Q4,Dec-10,5.3,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2011-Q1,Mar-11,0.4,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2011-Q2,Jun-11,-3.4,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2011-Q3,Sep-11,-6,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2011-Q4,Dec-11,-6.7,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2012-Q1,Mar-12,-4,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2012-Q2,Jun-12,3.7,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2012-Q3,Sep-12,8.4,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2012-Q4,Dec-12,6.3,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2013-Q1,Mar-13,12.7,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2013-Q2,Jun-13,8.4,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2013-Q3,Sep-13,4,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2013-Q4,Dec-13,4.7,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2014-Q1,Mar-14,1.9,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2014-Q2,Jun-14,1.1,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2014-Q3,Sep-14,1.6,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2014-Q4,Dec-14,2.2,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2015-Q1,Mar-15,0.3,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2015-Q2,Jun-15,-1.8,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2015-Q3,Sep-15,-2.8,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2015-Q4,Dec-15,-4.2,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2016-Q1,Mar-16,-3.6,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2016-Q2,Jun-16,-5.7,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2016-Q3,Sep-16,-4.3,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2016-Q4,Dec-16,-5,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2017-Q1,Mar-17,-7.1,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2017-Q2,Jun-17,-5.5,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2017-Q3,Sep-17,-8.9,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2017-Q4,Dec-17,-9.2,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2018-Q1,Mar-18,-10.4,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2018-Q2,Jun-18,-10.3,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2018-Q3,Sep-18,-10.2,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2018-Q4,Dec-18,-9.6,,
3,Percentage change from corresponding quarter of the previous year,1,Attached dwellings,7GDAR,Greater Darwin,Q,Quarterly,2019-Q1,Mar-19,-7.9,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2009-Q1,Mar-09,-0.7,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2009-Q2,Jun-09,4.3,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2009-Q3,Sep-09,4.1,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2009-Q4,Dec-09,5.4,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2010-Q1,Mar-10,3,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2010-Q2,Jun-10,2.5,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2010-Q3,Sep-10,-0.3,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2010-Q4,Dec-10,0.2,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2011-Q1,Mar-11,-0.3,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2011-Q2,Jun-11,0.4,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2011-Q3,Sep-11,-1.5,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2011-Q4,Dec-11,-1.5,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2012-Q1,Mar-12,1.9,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2012-Q2,Jun-12,1.1,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2012-Q3,Sep-12,-0.5,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2012-Q4,Dec-12,2.8,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2013-Q1,Mar-13,1,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2013-Q2,Jun-13,3.8,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2013-Q3,Sep-13,3.8,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2013-Q4,Dec-13,5.5,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2014-Q1,Mar-14,2.3,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2014-Q2,Jun-14,3.5,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2014-Q3,Sep-14,2.2,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2014-Q4,Dec-14,3.6,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2015-Q1,Mar-15,3.1,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2015-Q2,Jun-15,8.9,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2015-Q3,Sep-15,3.1,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2015-Q4,Dec-15,-1.6,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2016-Q1,Mar-16,-0.7,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2016-Q2,Jun-16,2.8,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2016-Q3,Sep-16,2.6,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2016-Q4,Dec-16,5.2,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2017-Q1,Mar-17,3,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2017-Q2,Jun-17,2.3,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2017-Q3,Sep-17,-1.4,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2017-Q4,Dec-17,-0.1,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2018-Q1,Mar-18,-1.2,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2018-Q2,Jun-18,-1.2,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2018-Q3,Sep-18,-1.9,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2018-Q4,Dec-18,-3.7,,
2,Percentage change from previous quarter,3,Residential property,1GSYD,Greater Sydney,Q,Quarterly,2019-Q1,Mar-19,-3.9,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2009-Q1,Mar-09,0.2,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2009-Q2,Jun-09,2.8,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2009-Q3,Sep-09,3.2,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2009-Q4,Dec-09,3.5,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2010-Q1,Mar-10,1.2,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2010-Q2,Jun-10,0.3,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2010-Q3,Sep-10,-1.5,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2010-Q4,Dec-10,-0.1,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2011-Q1,Mar-11,-1.8,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2011-Q2,Jun-11,-1,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2011-Q3,Sep-11,-2.8,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2011-Q4,Dec-11,0.1,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2012-Q1,Mar-12,0,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2012-Q2,Jun-12,-0.4,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2012-Q3,Sep-12,1,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2012-Q4,Dec-12,1,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2013-Q1,Mar-13,-0.1,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2013-Q2,Jun-13,1.5,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2013-Q3,Sep-13,1.6,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2013-Q4,Dec-13,2.7,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2014-Q1,Mar-14,1.1,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2014-Q2,Jun-14,2,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2014-Q3,Sep-14,0.5,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2014-Q4,Dec-14,1.6,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2015-Q1,Mar-15,0.3,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2015-Q2,Jun-15,0.9,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2015-Q3,Sep-15,1.7,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2015-Q4,Dec-15,1.7,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2016-Q1,Mar-16,0.2,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2016-Q2,Jun-16,1.2,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2016-Q3,Sep-16,0.3,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2016-Q4,Dec-16,2.9,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2017-Q1,Mar-17,-0.2,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2017-Q2,Jun-17,0.8,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2017-Q3,Sep-17,0.6,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2017-Q4,Dec-17,1.4,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2018-Q1,Mar-18,-0.8,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2018-Q2,Jun-18,0.9,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2018-Q3,Sep-18,0.8,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2018-Q4,Dec-18,-1,,
2,Percentage change from previous quarter,2,Established houses,3GBRI,Greater Brisbane,Q,Quarterly,2019-Q1,Mar-19,-1.5,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2009-Q1,Mar-09,1.5,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2009-Q2,Jun-09,3.6,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2009-Q3,Sep-09,3.7,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2009-Q4,Dec-09,5.5,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2010-Q1,Mar-10,2.4,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2010-Q2,Jun-10,2,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2010-Q3,Sep-10,-1.2,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2010-Q4,Dec-10,0.8,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2011-Q1,Mar-11,-0.4,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2011-Q2,Jun-11,0.1,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2011-Q3,Sep-11,-1.4,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2011-Q4,Dec-11,-1.3,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2012-Q1,Mar-12,2.1,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2012-Q2,Jun-12,-0.3,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2012-Q3,Sep-12,0,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2012-Q4,Dec-12,2.2,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2013-Q1,Mar-13,0.7,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2013-Q2,Jun-13,2.6,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2013-Q3,Sep-13,2,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2013-Q4,Dec-13,3.2,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2014-Q1,Mar-14,1.8,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2014-Q2,Jun-14,1.6,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2014-Q3,Sep-14,0.5,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2014-Q4,Dec-14,1.9,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2015-Q1,Mar-15,0.8,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2015-Q2,Jun-15,4.1,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2015-Q3,Sep-15,1.6,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2015-Q4,Dec-15,0,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2016-Q1,Mar-16,-0.8,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2016-Q2,Jun-16,1.4,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2016-Q3,Sep-16,1.2,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2016-Q4,Dec-16,2.3,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2017-Q1,Mar-17,1.7,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2017-Q2,Jun-17,1.9,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2017-Q3,Sep-17,-0.8,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2017-Q4,Dec-17,0.6,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2018-Q1,Mar-18,-0.7,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2018-Q2,Jun-18,-0.7,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2018-Q3,Sep-18,-1,,
2,Percentage change from previous quarter,1,Attached dwellings,100,Weighted average of eight capital cities,Q,Quarterly,2018-Q4,Dec-18,-1.9,,
